country,gdpPercap_1997,gdpPercap_2002,gdpPercap_2007
Argentina,10967.28195,8797.640716,12779.379640000001
Bolivia,3326.143191,3413.26269,3822.1370840000004
Brazil,7957.980823999999,8131.212843000001,9065.800825
Canada,28954.92589,33328.96507,36319.235010000004
Chile,10118.053179999999,10778.78385,13171.63885
Colombia,6117.3617460000005,5755.259962,7006.580419
Costa Rica,6677.045314,7723.447195000001,9645.06142
Cuba,5431.990415,6340.646683,8948.102923
Dominican Republic,3614.101285,4563.808154,6025.374752000001
Ecuador,7429.455876999999,5773.0445119999995,6873.262326000001
El Salvador,5154.825496,5351.568665999999,5728.353514
Guatemala,4684.313807,4858.347495,5186.050003
Haiti,1341.7269310000001,1270.364932,1201.637154
Honduras,3160.454906,3099.72866,3548.3308460000003
Jamaica,7121.924704000001,6994.774861,7320.880262000001
Mexico,9767.29753,10742.44053,11977.57496
Nicaragua,2253.023004,2474.548819,2749.320965
Panama,7113.692252,7356.031934000001,9809.185636
Paraguay,4247.400261,3783.674243,4172.838464
Peru,5838.347657,5909.020073,7408.905561
Puerto Rico,16999.4333,18855.606180000002,19328.70901
Trinidad and Tobago,8792.573126000001,11460.60023,18008.50924
United States,35767.43303,39097.09955,42951.65309
Uruguay,9230.240708,7727.002004000001,10611.46299
Venezuela,10165.49518,8605.047831,11415.805690000001
